,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,-532.8979204990842,-187.03291895868776,-560.4396408211398,-631.6386296602155,-213.94771628815508,-309.34018176585477,-1399.1543219353441,-470.70040908207295,-854.2309888906661,-457.5902010833605,-377.35449646416623,-1384.6829453675955,-1067.8775158964102,-595.3798378445789,-1793.0599662546051,-695.7406018862824,879.2263092561591,234.73136485264288,-789.0608098037916
1,-759.3530143535586,-164.3699498433469,-297.19696774431907,-312.22882307171983,-143.71064084798155,-523.4048962781817,-865.6403633659022,-503.31383023764283,-1539.8761594602065,-598.2260979227724,-382.3624053759409,-3095.6414377149,-2091.9873693567824,-523.4308508464,-654.8002048897332,-366.1766833528845,660.4386413914552,212.47991222277628,-532.9417680835077
2,-753.9181798049364,-138.3937771621775,-234.37323591062489,-245.1987460399641,-441.2705840272323,-1184.730043561975,-740.8272419583307,-439.39188479504435,-1786.5630884287846,-556.1134633120735,-315.9652471315574,-6413.862095741736,-2923.3328708482773,-531.499723727796,-720.3414021528305,-294.73016442561186,748.0922353007697,207.1002182090115,-503.46688703137437
3,-748.8494852634568,-123.65072021497589,-338.1192295479395,-363.3415396964508,-622.3224286049904,-1320.3460052992214,-728.996590006506,-415.10035583850623,-2059.1787477205203,-546.021653452249,-291.52286786881876,-9320.336526624982,-3859.038164785932,-542.9921882200287,-1811.1646741041468,-495.32514380210546,214.5022380532513,118.76930021627408,-1069.534014937204
4,-710.4933038963527,-113.97469973823821,-287.2607604819073,-309.00173154722705,-622.8125345181603,-1321.05882521654,-934.4014681754195,-386.0059970821387,-2153.9525303708697,-520.1215180860597,-273.8916630499299,-13081.1555387675,-4159.843431858938,-455.8494840231329,-1972.0663882439867,-409.44126264339866,-2713.7975904918694,0.4704587971531585,-1745.5592017277754
5,-773.2321755734642,-110.98887660819771,-269.49960541576513,-281.5762562855215,-622.5904466828051,-1320.5936966066877,-898.1535558132246,-396.8265821488074,-2575.825642492259,-555.8159457619445,-279.1244359736345,-14479.370665956345,-5024.93845092302,-389.9261348820598,-2984.712991446803,-369.2321294826675,-4948.724193081365,-753.1623639949338,-1975.33834892644
6,-669.9992519029595,-105.67596293649575,-196.08614490738358,-205.45824160743635,-83.67759780347804,-460.8140947311732,-553.9088961381663,-360.56677465736504,-2203.439006769815,-492.78135202685274,-259.7612959646347,-13146.551488390103,-4420.357781653936,-372.5205443391313,-644.946550974781,-250.07766933583406,-4948.885019865023,-4003.8486953856054,-1932.4083666237414
7,-594.3745312801957,-102.5492692406448,-145.71410352486424,-156.41600968935933,-74.58247083070091,-212.39654852346584,-482.6965022673801,-335.10821485813966,-1812.9556449017166,-445.9467935060262,-245.8849166231022,-8280.141273555613,-3464.691574954285,-404.2999753264377,-336.30586032828467,-181.87233418956433,-4948.884032848822,-4003.8476172703763,-974.5274427452988
8,-371.0277594760751,-93.5459902358668,-104.39896397516614,-120.99774143061595,-64.19848165090104,-175.6256843608805,-427.8321983377455,-245.00402799660122,-742.0713312227572,-299.5118127673383,-198.46602541807223,-1363.425417240164,-883.6531602071981,-299.260953818241,-204.23524010721104,-136.17171340603795,-4948.729950841063,-2505.7938807349483,-321.53627574873605
9,-464.39426121212506,-99.77058089916322,-100.27853047462588,-116.60659878232386,-81.9555997232381,-215.20784343350718,-376.844162084536,-286.12604819626796,-996.8460200710676,-368.65050236703416,-224.88651367827066,-1985.6194942750901,-1242.1283311842637,-345.17957631438964,-169.73372047166745,-130.71404026745668,-1550.20684751258,0.4711567744444012,-317.48826370586096
10,-672.8000153053537,-110.4454448018336,-101.61821332971219,-118.58906247901169,-100.11085508220553,-303.6391863239664,-376.88900511270595,-365.1133768515889,-1945.4088637325972,-497.5762993766041,-268.2015801259307,-7536.107887377894,-3397.1207924451355,-449.66666245589363,-208.80786539796173,-133.17730245855927,458.937418399566,156.7967104537387,785.2840179464748
11,-773.4961258165823,-119.17413049462249,-113.0198588726919,-127.37844075507181,-117.0675326578976,-403.86588228014887,-356.02798065511024,-403.0241757712464,-2237.326035477709,-568.3598025074713,-296.6905630521074,-10107.786560673652,-4094.074863887652,-467.9045480480143,-242.11332239018427,-145.94565781448082,711.070576706,185.17138205590854,543.2189601048876
12,-688.9788074671549,-125.32172552647222,-186.69970220510302,-202.86474575517047,-124.18824459534153,-355.5025995557254,-360.89181245715787,-386.2522408655045,-1519.3172844250207,-516.7547940902405,-293.13153461625376,-2758.744709991547,-2117.825498248494,-442.1369126737525,-1638.7619953587775,-271.8943927592921,664.7360513522457,187.48510936596216,-451.2032182129128
13,-830.0860534072511,-143.7742056640299,-200.13254230033004,-212.52586033978315,-140.25686451174,-345.55771963985507,-374.87142087240505,-465.0201744834942,-2051.395723256094,-609.8008037786359,-339.22894948368145,-3369.6570650455737,-3265.137100871701,-532.8844292553432,-3859.700319894474,-291.25093046554707,689.420457088044,191.05283063709805,-647.1862874011549
14,-1046.5081763202775,-172.39261105040308,-217.4237668792039,-213.1032395807517,-188.86480669183467,-435.06831994223165,-408.616163595109,-591.5580797916363,-2557.2189252815315,-770.3051023411457,-411.3792201180604,-6074.1576751549555,-4218.213900506507,-684.4200032578947,-4863.54821163472,-293.1193035398144,881.7063396777962,200.45422694958643,-1130.8675503803352
15,-435.665235856761,-174.16607288916353,-183.7926776884009,-188.6598875222585,-188.54747346433663,-284.90428016200815,-370.39990944031433,-366.1848574165883,-605.0959150363102,-386.03034274038015,-312.1182356559427,-503.04461040393795,-711.9419316288313,-232.4240959417463,-1619.6163208370676,-245.49704085731068,323.851561352433,150.18410260619166,-1395.0344992591072
