name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
0 biomass,eGon2035,4,biomass,65.39254265272939,0.0,1.0,42.107180018324954,1.0,False,0,0,0,1.0,1.0,inf,Slack,,65.39254265272939,65.39254265272939
0 central_biomass_CHP,eGon2035,4,central_biomass_CHP,58.0145553463733,0.0,0.9999999999999999,42.107167064525974,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,58.0145553463733,58.0145553463733
0 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,72.7698211504233,0.0,1.0000000000000002,42.10648645903897,1.0000000000000002,False,0,0,0,1.0,1.0,inf,PV,,72.7698211504233,72.7698211504233
0 load shedding,,4,load shedding,82267889.41175163,0.0,1.0,10000.008376963093,1.0,False,0,0,1,1.0,1.0,0.0,PQ,,82267889.41175163,82267889.41175163
0 oil,eGon2035,4,oil,0.8,0.0,1.0,101.83531473285191,1.0,False,0,0,0,1.0,1.0,inf,PV,,0.8,0.8
0 others,eGon2035,4,others,232.76977841280006,0.0,1.0,0.005529320848285467,1.0,False,0,0,0,1.0,1.0,inf,PV,,232.76977841280006,232.76977841280006
0 reservoir,eGon2035,4,reservoir,34.02791498240765,0.0,0.65,0.01228641034174654,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,34.02791498240765,34.02791498240765
0 run_of_river,eGon2035,4,run_of_river,0.7113628858219483,0.0,0.65,0.007800696044589375,1.0,False,0,0,0,1.0,1.0,inf,PV,,0.7113628858219483,0.7113628858219483
0 solar,eGon2035,4,solar,277.57958955765673,0.0,1.0,0.018292744078958548,1.0,False,0,0,0,1.0,1.0,inf,PV,,277.57958955765673,277.57958955765673
0 solar_rooftop,eGon2035,4,solar_rooftop,6000.890357664336,0.0,0.9999999999999999,0.01852267506462606,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,6000.890357664336,6000.890357664336
0 wind_onshore,eGon2035,4,wind_onshore,1894.9663669090385,0.0,0.9999999999999998,1.3080254208730762,0.9999999999999998,False,0,0,0,1.0,1.0,inf,PV,,1894.9663669090385,1894.9663669090385
1 biomass,eGon2035,4,biomass,11.688040258089394,0.0,1.0,42.10707207528393,1.0,False,0,0,0,1.0,1.0,inf,PV,,11.688040258089394,11.688040258089394
1 central_biomass_CHP,eGon2035,4,central_biomass_CHP,8.684230717553312,0.0,0.9999999999999999,42.10669435899868,0.9999999999999999,False,0,0,0,1.0,1.0,inf,PV,,8.684230717553312,8.684230717553312
1 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,118.69728838224471,0.0,1.0,42.10812992055651,1.0,False,0,0,0,1.0,1.0,inf,PV,,118.69728838224471,118.69728838224471
