name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,4,41276,dsm,454.3904778459604,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,454.3904778459604,DE,inf,False,,,,,,1.0,1.0
1,eGon2035,4,51088,central_heat_pump,0.15002389473678984,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.15002389473678984,DE,inf,False,,,,,,1.0,1.0
2,eGon2035,4,51088,central_resistive_heater,0.19122830493845563,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19122830493845563,DE,inf,False,,,,,,1.0,1.0
3,eGon2035,4,51150,central_heat_pump,2.365116581289781,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.365116581289781,DE,inf,False,,,,,,1.0,1.0
4,eGon2035,4,51150,central_resistive_heater,3.071659284682173,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.071659284682173,DE,inf,False,,,,,,1.0,1.0
5,eGon2035,4,52040,rural_heat_pump,2618.7601651615923,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2618.7601651615923,DE,inf,False,,,,,,1.0,1.0
6,eGon2035,4,69914,BEV_charger,4827.091583669186,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,4827.091583669186,DE,inf,False,,,,,,1.0,1.0
7,eGon2035,4,72493,power_to_H2,0.0,True,inf,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,970.3805227940073,DE,31.0,False,,,,,,1.0,1.0
8,eGon2035,4,72499,power_to_H2,0.0,True,2.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,1.9626146821155142,DE,31.0,False,,,,,,1.0,1.0
9,eGon2035,4,72504,power_to_H2,0.0,True,1.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,0.9808440659066763,DE,31.0,False,,,,,,1.0,1.0
10,eGon2035,4,72524,power_to_H2,0.0,True,4.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,3.918190484585748,DE,31.0,False,,,,,,1.0,1.0
11,eGon2035,4,72580,central_heat_pump,75.25404978104125,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.25404978104125,DE,inf,False,,,,,,1.0,1.0
12,eGon2035,4,72580,central_resistive_heater,75.48067521122466,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,75.48067521122466,DE,inf,False,,,,,,1.0,1.0
13,eGon2035,4,72594,central_heat_pump,4.775472896436253,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.775472896436253,DE,inf,False,,,,,,1.0,1.0
14,eGon2035,4,72594,central_resistive_heater,0.8487703181049969,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8487703181049969,DE,inf,False,,,,,,1.0,1.0
15,eGon2035,4,72596,central_resistive_heater,0.02672811825247034,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.02672811825247034,DE,inf,False,,,,,,1.0,1.0
16,eGon2035,4,72598,central_heat_pump,23.387149838447733,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23.387149838447733,DE,inf,False,,,,,,1.0,1.0
17,eGon2035,4,72598,central_resistive_heater,29.824147178355275,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,29.824147178355275,DE,inf,False,,,,,,1.0,1.0
18,eGon2035,4,72604,central_heat_pump,2.7624028551575255,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.7624028551575255,DE,inf,False,,,,,,1.0,1.0
19,eGon2035,4,72604,central_resistive_heater,1.0419117462894179,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0419117462894179,DE,inf,False,,,,,,1.0,1.0
20,eGon2035,4,72612,central_heat_pump,1.6421416497516752,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.6421416497516752,DE,inf,False,,,,,,1.0,1.0
21,eGon2035,4,72612,central_resistive_heater,0.3796447078079816,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3796447078079816,DE,inf,False,,,,,,1.0,1.0
22,eGon2035,4,41276,dsm,33.5111366214805,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.5111366214805,DE,inf,False,,,,,,1.0,1.0
23,eGon2035,4,48653,power_to_H2,0.0,True,inf,549.0763730266486,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,1.3195809483030487,DE,31.0,False,,,,,,1.0,1.0
24,eGon2035,4,51464,central_resistive_heater,0.2480144506058162,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.2480144506058162,DE,inf,False,,,,,,1.0,1.0
25,eGon2035,4,52040,rural_heat_pump,384.48084970022046,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,384.48084970022046,DE,inf,False,,,,,,1.0,1.0
26,eGon2035,4,69914,BEV_charger,646.1791732907295,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,646.1791732907295,DE,inf,False,,,,,,1.0,1.0
27,eGon2035,4,72509,power_to_H2,0.0,True,inf,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,242.84345477923068,DE,31.0,False,,,,,,1.0,1.0
28,eGon2035,4,72512,power_to_H2,0.0,True,2.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,1.9552670286016753,DE,31.0,False,,,,,,1.0,1.0
29,eGon2035,4,72526,power_to_H2,0.0,True,14.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,13.999470942809424,DE,31.0,False,,,,,,1.0,1.0
30,eGon2035,4,72634,central_resistive_heater,0.23440568471091627,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.23440568471091627,DE,inf,False,,,,,,1.0,1.0
31,eGon2035,4,72646,central_heat_pump,0.07053580536216253,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07053580536216253,DE,inf,False,,,,,,1.0,1.0
32,eGon2035,4,72646,central_resistive_heater,2.5986496226292695,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.5986496226292695,DE,inf,False,,,,,,1.0,1.0
33,eGon2035,4,72654,central_heat_pump,0.11240539543491615,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11240539543491615,DE,inf,False,,,,,,1.0,1.0
34,eGon2035,4,72654,central_resistive_heater,0.022844097850906887,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.022844097850906887,DE,inf,False,,,,,,1.0,1.0
35,eGon2035,4,41276,dsm,79.81746145845867,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,79.81746145845867,DE,inf,False,,,,,,1.0,1.0
36,eGon2035,4,50228,central_resistive_heater,0.00577639107084845,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00577639107084845,DE,inf,False,,,,,,1.0,1.0
37,eGon2035,4,50380,central_heat_pump,0.20188816251436228,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.20188816251436228,DE,inf,False,,,,,,1.0,1.0
38,eGon2035,4,50380,central_resistive_heater,0.03856582094786492,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03856582094786492,DE,inf,False,,,,,,1.0,1.0
39,eGon2035,4,52040,rural_heat_pump,764.1655612468236,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,764.1655612468236,DE,inf,False,,,,,,1.0,1.0
40,eGon2035,4,69914,BEV_charger,1402.91754591465,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,1402.91754591465,DE,inf,False,,,,,,1.0,1.0
41,eGon2035,4,72493,power_to_H2,0.0,True,1.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,0.9817830277823213,DE,31.0,False,,,,,,1.0,1.0
42,eGon2035,4,72499,power_to_H2,0.0,True,4.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,3.9200204548416493,DE,31.0,False,,,,,,1.0,1.0
43,eGon2035,4,72506,power_to_H2,0.0,True,1.0,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,0.9996005221420705,DE,31.0,False,,,,,,1.0,1.0
44,eGon2035,4,72515,power_to_H2,0.0,True,inf,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,161.33382385147044,DE,31.0,False,,,,,,1.0,1.0
45,eGon2035,4,72562,central_heat_pump,6.979368453744274,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.979368453744274,DE,inf,False,,,,,,1.0,1.0
46,eGon2035,4,72562,central_resistive_heater,1.8789008468886064,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.8789008468886064,DE,inf,False,,,,,,1.0,1.0
47,eGon2035,4,72564,central_heat_pump,1.2519826845535718,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2519826845535718,DE,inf,False,,,,,,1.0,1.0
48,eGon2035,4,72564,central_resistive_heater,0.9595398605148138,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9595398605148138,DE,inf,False,,,,,,1.0,1.0
49,eGon2035,4,72565,central_heat_pump,9.69470704165933,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.69470704165933,DE,inf,False,,,,,,1.0,1.0
50,eGon2035,4,72565,central_resistive_heater,10.953351827301049,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.953351827301049,DE,inf,False,,,,,,1.0,1.0
51,eGon2035,4,72572,central_heat_pump,0.7838687045991435,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7838687045991435,DE,inf,False,,,,,,1.0,1.0
52,eGon2035,4,72572,central_resistive_heater,0.3127351872499393,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3127351872499393,DE,inf,False,,,,,,1.0,1.0
53,eGon2035,4,41276,dsm,24.161472857473647,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.161472857473647,DE,inf,False,,,,,,1.0,1.0
54,eGon2035,4,48653,power_to_H2,0.0,True,inf,549.0763730266486,0.0,0.7,0.0,0.0,1.0,0.0,1.3195809471194393,DE,31.0,False,,,,,,1.0,1.0
55,eGon2035,4,52040,rural_heat_pump,235.4549415367465,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,235.4549415367465,DE,inf,False,,,,,,1.0,1.0
