name,scn_name,bus,carrier,p_set
0 AC,eGon2035,0,AC,0.0
0 H2_for_industry,eGon2035,0,H2_for_industry,415.02148427083335
1 AC,eGon2035,1,AC,0.0
1 H2_for_industry,eGon2035,1,H2_for_industry,1598.13083625
10 AC,eGon2035,10,AC,0.0
10 H2_for_industry,eGon2035,10,H2_for_industry,609.9109516041666
11 AC,eGon2035,11,AC,0.0
11 H2_for_industry,eGon2035,11,H2_for_industry,1201.6882454166666
2 AC,eGon2035,2,AC,0.0
3 AC,eGon2035,3,AC,0.0
3 H2_for_industry,eGon2035,3,H2_for_industry,517.5741359166666
4 AC,eGon2035,4,AC,0.0
48639 CH4,eGon2035,48639,CH4,0.0
48640 CH4,eGon2035,48640,CH4,0.0
48641 CH4,eGon2035,48641,CH4,0.0
48642 CH4,eGon2035,48642,CH4,0.0
48643 CH4,eGon2035,48643,CH4,0.0
48644 CH4,eGon2035,48644,CH4,0.0
48645 CH4,eGon2035,48645,CH4,0.0
48646 CH4,eGon2035,48646,CH4,0.0
48647 CH4,eGon2035,48647,CH4,0.0
48648 CH4,eGon2035,48648,CH4,0.0
48649 CH4,eGon2035,48649,CH4,0.0
48650 CH4,eGon2035,48650,CH4,0.0
49625 central_heat,eGon2035,49625,central_heat,0.0
49653 central_heat,eGon2035,49653,central_heat,0.0
49900 central_heat,eGon2035,49900,central_heat,0.0
49992 central_heat,eGon2035,49992,central_heat,0.0
49993 central_heat,eGon2035,49993,central_heat,0.0
5 AC,eGon2035,5,AC,0.0
5 H2_for_industry,eGon2035,5,H2_for_industry,1529.8526683333332
50041 central_heat,eGon2035,50041,central_heat,0.0
50228 central_heat,eGon2035,50228,central_heat,0.0
50380 central_heat,eGon2035,50380,central_heat,0.0
50382 central_heat,eGon2035,50382,central_heat,0.0
50517 central_heat,eGon2035,50517,central_heat,0.0
50864 central_heat,eGon2035,50864,central_heat,0.0
50974 central_heat,eGon2035,50974,central_heat,0.0
51088 central_heat,eGon2035,51088,central_heat,0.0
51121 central_heat,eGon2035,51121,central_heat,0.0
51150 central_heat,eGon2035,51150,central_heat,0.0
51206 central_heat,eGon2035,51206,central_heat,0.0
51362 central_heat,eGon2035,51362,central_heat,0.0
51404 central_heat,eGon2035,51404,central_heat,0.0
51419 central_heat,eGon2035,51419,central_heat,0.0
51427 central_heat,eGon2035,51427,central_heat,0.0
51428 central_heat,eGon2035,51428,central_heat,0.0
51432 central_heat,eGon2035,51432,central_heat,0.0
51439 central_heat,eGon2035,51439,central_heat,0.0
51464 central_heat,eGon2035,51464,central_heat,0.0
51480 central_heat,eGon2035,51480,central_heat,0.0
51489 central_heat,eGon2035,51489,central_heat,0.0
51490 central_heat,eGon2035,51490,central_heat,0.0
51491 central_heat,eGon2035,51491,central_heat,0.0
51709 central_heat,eGon2035,51709,central_heat,0.0
51737 central_heat,eGon2035,51737,central_heat,0.0
51742 central_heat,eGon2035,51742,central_heat,0.0
51832 central_heat,eGon2035,51832,central_heat,0.0
51836 central_heat,eGon2035,51836,central_heat,0.0
51856 central_heat,eGon2035,51856,central_heat,0.0
51925 central_heat,eGon2035,51925,central_heat,0.0
51935 central_heat,eGon2035,51935,central_heat,0.0
51958 central_heat,eGon2035,51958,central_heat,0.0
51971 central_heat,eGon2035,51971,central_heat,0.0
51987 central_heat,eGon2035,51987,central_heat,0.0
52029 central_heat,eGon2035,52029,central_heat,0.0
52040 rural_heat,eGon2035,52040,rural_heat,0.0
6 AC,eGon2035,6,AC,0.0
6 H2_for_industry,eGon2035,6,H2_for_industry,1651.7463891666666
69914 land_transport_EV,eGon2035,69914,land_transport_EV,0.0
7 AC,eGon2035,7,AC,0.0
7 H2_for_industry,eGon2035,7,H2_for_industry,1726.8721004166664
72442 CH4_for_industry,eGon2035,72442,CH4_for_industry,0.0
72442 rural_gas_boiler,eGon2035,72442,rural_gas_boiler,0.0
72443 CH4_for_industry,eGon2035,72443,CH4_for_industry,0.0
72443 rural_gas_boiler,eGon2035,72443,rural_gas_boiler,0.0
72444 CH4_for_industry,eGon2035,72444,CH4_for_industry,0.0
72444 rural_gas_boiler,eGon2035,72444,rural_gas_boiler,0.0
72445 CH4_for_industry,eGon2035,72445,CH4_for_industry,0.0
72445 rural_gas_boiler,eGon2035,72445,rural_gas_boiler,0.0
72446 CH4_for_industry,eGon2035,72446,CH4_for_industry,0.0
72446 rural_gas_boiler,eGon2035,72446,rural_gas_boiler,0.0
72447 CH4_for_industry,eGon2035,72447,CH4_for_industry,0.0
