,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,521.6047333457952,161.42912934337494,548.9505548816526,546.8092267402543,209.20864294786318,267.4357786681785,1372.5537253437822,460.6811479675858,739.2406378679088,447.88815728605766,326.19877892900445,1355.786073007899,924.3090811508549,582.9017786698948,1756.887062135527,602.3488751190177,3271.952812183169,4972.58553004849,772.5801677024901
1,1265.1222028597083,303.24297041670235,839.885518505672,816.943378569174,349.5771731321779,720.1385982647749,2219.9401859082527,953.3821678971389,2072.103568418104,1033.5963643417767,656.7630227502642,4387.668061194359,2735.2410842653326,1095.3423025450745,2398.222172226764,919.2194343122374,2597.871812252889,4727.196824747069,1294.2414301973672
2,2003.297868127987,422.5731015885052,1069.268738014497,1029.0337946867592,781.3767833004579,1745.4105392310803,2945.0249506545288,1383.427137220152,3618.5931318712865,1578.006737001617,929.8349788254369,10670.76032463682,5266.102269988508,1615.6857803668188,3103.7961934598097,1174.2147152772368,1834.3291534565967,4488.020112798456,1787.003978899167
3,2736.5230489272526,529.1513244900185,1400.2982213914293,1343.4415525030138,1391.0763266743056,2888.5921551534752,3658.511032716833,1789.6841584897452,5401.158900884628,2112.5426723542328,1181.7661477578042,19801.66941800997,8607.284835638386,2147.310015548012,4878.121904948193,1602.9310543226047,1615.381837892637,4350.836722022235,2834.416446455011
4,3432.1358410928597,627.3575707383867,1681.4920079635513,1610.7883067204868,2001.2648964005111,4032.438663919156,4573.260073046752,2167.421214396834,7265.752000542639,2621.681655351637,1418.4378074129254,32617.206329641565,12208.91592083532,2593.4646091253676,6810.027408281468,1957.2672233165242,4274.325298069227,4350.241903000449,4544.169893807582
5,4189.213725498971,722.987279408139,1945.2759621387647,1854.3801227929523,2611.2318436368337,5175.850332733733,5452.469021330861,2555.7609332184743,9495.665387316274,3165.7903427760166,1659.6494621086028,46802.656358173735,16559.70833868456,2974.8620133758513,9734.049292566056,2276.7762350232692,9123.059716988046,5002.463096274484,6479.139170363102
6,4845.179140251564,814.0315631769448,2137.166217075208,2032.0667724080865,2692.7383442753735,5574.289133337787,5994.346645772249,2908.5969426215975,11403.10020569029,3648.160304346285,1884.1137720968254,59682.308449426186,20386.935823648786,3339.278983517023,10365.705156034852,2493.108888256692,13971.954663977747,8469.881816263613,8372.028209283071
7,5427.0624801999165,902.3792782575641,2279.696969798017,2167.28385119515,2765.421778487138,5757.7356979324995,6466.43383200834,3236.4978993549475,12972.375249109258,4084.6518025215582,2096.575912468656,67793.88861197521,23386.54003887371,3734.9643853109487,10694.950409864745,2650.3745138858158,18820.848619913308,11937.299489473282,9326.361716593616
8,5790.11438555808,982.937321402263,2381.729536960127,2271.8272314535966,2827.894350651148,5909.40289966702,6884.714274661244,3476.111910633221,13614.23877361652,4377.665654025087,2267.9830002951257,69128.58943871805,24150.892515986176,4027.7663432628715,10894.808544603293,2768.0589911909374,23669.5887830248,14107.344570610627,9640.902541312797
9,6244.6447005232885,1068.8914861629385,2479.7183645540867,2372.565286335398,2907.7908486235706,6095.277612192986,7252.982575301169,3756.0210394552623,14476.725095037453,4738.420516408726,2462.2724405873564,71072.87271375561,25225.67500472942,4365.548745684855,11060.824173678888,2881.0121798553355,25188.450716841468,14106.750419337151,9951.474484296858
10,6903.373907718311,1164.0975830212037,2579.0191759702834,2475.021018433095,3005.4712218514737,6357.684521182858,7621.304438790544,4113.33074327191,16160.682233282741,5225.5036684688375,2694.078114093838,78455.46881748454,28166.73569595968,4805.694917560134,11265.096732847313,2996.097644714264,24720.02421602155,13925.657146128493,9149.543556683266
11,7660.758855919639,1266.868820460428,2689.502010647775,2585.089047531178,3119.756690546244,6706.860246558183,7969.179232942252,4507.78820417882,18097.43775719576,5781.9367965011825,2950.5553114062664,88357.77595140575,31711.37234067791,5263.666519936398,11502.003535870908,3122.241249944878,23994.26573846264,13711.800723153256,8594.646626898531
12,8335.330291618184,1374.9702898061757,2872.1794107763008,2760.528779315437,3241.028473853975,7014.177342236125,8321.833591788522,4885.817443534437,19412.37102162466,6287.809042429633,3203.9531737744664,91059.48766652048,33544.51899514954,5696.397912548675,13107.35856974822,3357.4593431494654,23315.7970894472,13495.273000934545,9036.22921754367
13,9148.155567534413,1499.0594891933065,3068.0080525731237,2944.329786169252,3378.040378426737,7312.9280485905565,8688.230647889994,5341.027759926775,21188.08564475671,6884.852374129185,3497.2746406501237,94359.77641622217,36371.259020946425,6218.056723694806,16888.759182927406,3609.435443923674,22612.13487175678,13274.625800284266,9669.81688293326
14,10172.97108282964,1647.9299087904749,3280.763696498998,3128.6136261326455,3562.6657833871263,7689.1948688068105,9087.698507968002,5920.189268392599,23401.794518844297,7639.118705264229,3853.05932207958,100309.77507037537,40023.32697847089,6888.1767742691145,21653.632430423455,3863.0121261719178,21712.221818054102,13043.122843975498,10777.233747326934
15,10599.382460964194,1798.3634017691254,3460.575743437756,3291.7467966380873,3747.02440797375,7935.484484729343,9449.737184078705,6278.589345816304,23924.99510884859,8016.945480525714,4122.909694775828,100801.37511546504,40638.9510893891,7115.467634568463,23240.207263282897,4075.3684644721557,21381.666454521703,12869.666705076757,12143.606553525839
16,10604.353725650504,1798.7316712099355,3605.3220977366254,3430.86097985234,3749.3340357715892,7936.487101128578,9769.44845330822,6282.2354822079515,23925.838159297862,8021.000335915377,4123.336489104067,100804.22711494795,40639.62623776234,7146.169775441381,23347.654669293617,4244.4443154225855,20769.827258348618,12657.389989349587,12149.022060936539
17,10519.046135103956,1787.3554188022733,3802.0033523308075,3643.568806058157,3661.1285701173197,7869.921148015833,10087.501543224735,6212.175519212259,23902.97902805447,7945.3932852184325,4110.292575894002,100721.45282467378,40612.17676390755,7082.104652269545,24576.348341145887,4537.923013050411,20255.250146953622,12453.600798348865,12052.299045591604
18,10488.440200400746,1782.066219214604,3881.0896245941976,3735.579025249399,3547.0998342810412,7828.273288611656,10410.811359514419,6184.911645250757,23894.972375363825,7917.119919178101,4104.730419614771,100667.39404208754,40601.48562262597,7049.528472081292,24744.03152904122,4647.544970516177,19776.64752034407,12252.972989559126,12023.525573621693
19,10472.722083028182,1778.4165616383773,3923.1871902519715,3786.91912488203,3187.4721634112475,7792.733847400528,10789.076063047893,6167.578607424396,23890.11323717872,7900.63954554368,4100.865344619683,100634.86763278159,40593.964207542296,7030.5934395786,24821.195659723813,4705.182249536238,18966.615672191798,12022.613134491614,12009.55044969307
20,10462.980424165675,1775.7391093456686,3986.513916299505,3861.7014284444613,3123.1911982052393,7770.433047164795,11213.748800959322,6158.206813990747,23887.09328013325,7891.124651305244,4097.966269557377,100611.4403098548,40589.81832612368,7021.590319543147,24952.09864577985,4791.922310070395,18512.703468683452,11823.804343659553,11999.760981452162
21,10452.633433066518,1773.625695176819,4120.549066649213,4005.784792818839,3090.3772791810884,7752.9583431870105,11702.715599063893,6147.758185839641,23884.329304944935,7880.86970879416,4095.609620536977,100597.10266243166,40586.94114757668,7010.517112374571,25340.482667489545,4977.264371285814,18115.356137494164,11632.541871722222,11989.821156989965
