name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
41240 dsm,eGon2035,41240,dsm,6157.624433784916,False,inf,0.0,True,0.0,6157.624433784916
48639 CH4,eGon2035,48639,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48640 CH4,eGon2035,48640,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48642 CH4,eGon2035,48642,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48643 CH4,eGon2035,48643,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48644 CH4,eGon2035,48644,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48645 CH4,eGon2035,48645,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48647 CH4,eGon2035,48647,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48649 CH4,eGon2035,48649,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48650 CH4,eGon2035,48650,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48653 H2_underground,eGon2035,48653,H2_underground,0.0,True,8116755.156723482,0.0,True,5.032562307171483,2235.961860879797
63652 central_heat_store,eGon2035,63652,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1966.7564536499744
63927 central_heat_store,eGon2035,63927,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.2812951756569
63995 central_heat_store,eGon2035,63995,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1244.6416185331036
64017 central_heat_store,eGon2035,64017,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6266522903713
64068 central_heat_store,eGon2035,64068,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1245.2139041234589
64231 central_heat_store,eGon2035,64231,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1242.6811798674387
64255 central_heat_store,eGon2035,64255,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6200618674613
64407 central_heat_store,eGon2035,64407,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1246.5156892098892
64409 central_heat_store,eGon2035,64409,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1247.9046882169991
64424 central_heat_store,eGon2035,64424,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1248.908133246021
64622 central_heat_store,eGon2035,64622,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1247.186042475268
64627 central_heat_store,eGon2035,64627,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1242.7278558265286
64891 central_heat_store,eGon2035,64891,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1246.8489931896504
65108 central_heat_store,eGon2035,65108,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6555643690624
65115 central_heat_store,eGon2035,65115,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1254.900433134407
65148 central_heat_store,eGon2035,65148,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1246.6286038310827
65177 central_heat_store,eGon2035,65177,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1243.2745942103907
65233 central_heat_store,eGon2035,65233,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1244.491234597327
65446 central_heat_store,eGon2035,65446,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1264.6724842594047
65455 central_heat_store,eGon2035,65455,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6106045104418
65459 central_heat_store,eGon2035,65459,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1243.0772481170309
65466 central_heat_store,eGon2035,65466,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6006253530911
65491 central_heat_store,eGon2035,65491,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.486326056398
65507 central_heat_store,eGon2035,65507,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.5892456920633
65517 central_heat_store,eGon2035,65517,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6658032256612
65518 central_heat_store,eGon2035,65518,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.5558915223764
65530 central_heat_store,eGon2035,65530,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6313527709074
65649 central_heat_store,eGon2035,65649,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6325215203867
65736 central_heat_store,eGon2035,65736,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1243.4944533270639
65750 central_heat_store,eGon2035,65750,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6864205058066
65757 central_heat_store,eGon2035,65757,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6069061371713
65764 central_heat_store,eGon2035,65764,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.6753049727458
65883 central_heat_store,eGon2035,65883,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1245.44812914589
65889 central_heat_store,eGon2035,65889,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1258.988014158062
65962 central_heat_store,eGon2035,65962,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1246.3556097409114
65998 central_heat_store,eGon2035,65998,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.643790837315
66007 central_heat_store,eGon2035,66007,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1241.782811904621
66014 central_heat_store,eGon2035,66014,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1245.4446601268346
66056 central_heat_store,eGon2035,66056,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1246.9639500312421
66067 rural_heat_store,eGon2035,66067,rural_heat_store,0.0,True,inf,0.0,True,84.18143564868184,194127.11275711667
69914 battery_storage,eGon2035,69914,battery_storage,915444.88,False,inf,721462.775760186,False,0.0,915444.88
71327 CH4,eGon2035,71327,CH4,22387785.752198417,False,inf,0.0,True,0.0,22387785.752198417
71328 CH4,eGon2035,71328,CH4,828.0254777070064,False,inf,0.0,True,0.0,828.0254777070064
71329 CH4,eGon2035,71329,CH4,414.0127388535032,False,inf,0.0,True,0.0,414.0127388535032
