name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,marginal_cost_quadratic,stand_by_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
0,eGon2035,4,41240,dsm,450.13859685942134,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,450.13859685942134,DE,inf,False,,,,,,1.0,1.0
1,eGon2035,4,51088,central_heat_pump,0.15002389473678984,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.15002389473678984,DE,inf,False,,,,,,1.0,1.0
2,eGon2035,4,51088,central_resistive_heater,0.19122830493845563,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.19122830493845563,DE,inf,False,,,,,,1.0,1.0
3,eGon2035,4,51150,central_heat_pump,1.3655812949292463,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.3655812949292463,DE,inf,False,,,,,,1.0,1.0
4,eGon2035,4,51150,central_resistive_heater,1.7735279929711798,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.7735279929711798,DE,inf,False,,,,,,1.0,1.0
5,eGon2035,4,52040,rural_heat_pump,2577.4574853828794,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2577.4574853828794,DE,inf,False,,,,,,1.0,1.0
6,eGon2035,4,69914,BEV_charger,4747.819716870785,False,inf,0.0,0.0,0.9,0.0,0.0,1.0,0.0,4747.819716870785,DE,inf,False,,,,,,1.0,1.0
7,eGon2035,4,71377,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,686.9081198784354,DE,31.0,False,,,,,,1.0,1.0
8,eGon2035,4,71391,power_to_H2,0.0,True,1.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,0.9963748832316127,DE,31.0,False,,,,,,1.0,1.0
9,eGon2035,4,71401,power_to_H2,0.0,True,10.0,1372.6909325666215,0.0,0.7,0.0,0.0,1.0,0.0,9.999698930909855,DE,31.0,False,,,,,,1.0,1.0
10,eGon2035,4,71411,power_to_H2,0.0,True,3.0,1372.6909325666213,0.0,0.6999999999999998,0.0,0.0,1.0,0.0,2.984591361474301,DE,31.0,False,,,,,,1.0,1.0
11,eGon2035,4,71468,central_heat_pump,13.514637546895047,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.514637546895047,DE,inf,False,,,,,,1.0,1.0
12,eGon2035,4,71468,central_resistive_heater,11.656141785625817,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.656141785625817,DE,inf,False,,,,,,1.0,1.0
13,eGon2035,4,71477,central_heat_pump,63.98812270822471,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.98812270822471,DE,inf,False,,,,,,1.0,1.0
14,eGon2035,4,71477,central_resistive_heater,64.59232825186147,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,64.59232825186147,DE,inf,False,,,,,,1.0,1.0
15,eGon2035,4,71484,central_heat_pump,6.417614546187928,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.417614546187928,DE,inf,False,,,,,,1.0,1.0
16,eGon2035,4,71484,central_resistive_heater,1.2284150259129785,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.2284150259129785,DE,inf,False,,,,,,1.0,1.0
17,eGon2035,4,71486,central_resistive_heater,0.02672811825247034,False,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.02672811825247034,DE,inf,False,,,,,,1.0,1.0
