,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,-572.9808623449119,-187.26457527984033,-543.131647691473,-574.0347987778943,-178.56598667315555,-295.61309727465596,-1425.3602937300645,-457.9882314548965,-740.5697804575829,-507.6842375377355,-357.46083764022717,-1459.5740006486653,-859.33613965368,-624.1197238747695,-1718.107983320452,-665.9446108251475,894.2127913735529,226.7836754021067,-721.224097611781
1,-723.7389362940514,-163.4214885556999,-265.5590286493204,-264.3169150282889,-147.6412418110249,-549.9721245138762,-907.4317697534957,-497.6579615396916,-1432.783362836812,-589.3215440981153,-367.164443822433,-3336.8686186508808,-2009.849758371102,-507.60067884486483,-790.7851694624917,-307.62653840037666,674.3433867885067,203.62640729367388,-408.51783757393497
2,-730.0696722285769,-138.90807733341677,-193.8766451658082,-207.5242486235265,-474.80147157536487,-1233.4702199308958,-730.0111462781825,-439.1056754880243,-1778.262104955919,-543.6230919692166,-316.8083963302321,-6298.946877614917,-3236.5122263125904,-376.131183429643,-316.0369549592287,-225.7668970119903,793.209752286921,204.97652902466982,-531.0480638300323
3,-710.3662493327797,-123.38902951242196,-250.42003268985738,-262.1890991692826,-622.9060334439394,-1321.0309306505849,-716.4892317779169,-401.785089447567,-2078.6201306521616,-517.163781696015,-289.1334608440178,-9661.569154594441,-4035.6586138501807,-376.6934358023444,-917.4095700587426,-329.8077632971571,205.33053754433107,123.98356722144376,-1248.7677617073452
4,-753.1610721393173,-115.97366250638778,-283.4590375248553,-285.9275637978128,-623.0218828269599,-1321.2007817887645,-962.6107132929952,-400.4789022489829,-2340.1693779806233,-537.4372648899964,-284.16468396243187,-12653.583346661393,-4543.765822980914,-433.25640415364063,-1958.5987843934602,-379.95544760655594,-2713.320511472313,0.49046137697402153,-1840.9439052021376
5,-930.7535353690052,-116.80713571645799,-263.6987848437687,-263.96838043984167,-623.0052379835544,-1321.2293629490364,-938.8590800871915,-460.7639837247534,-2709.681252072227,-648.2793687625484,-311.8981321187768,-14116.386155174401,-4940.64698815474,-551.2018601743541,-2025.8727496859915,-340.1058690845557,-4948.74199121611,-753.1218936450424,-1968.8008990824396
6,-707.1372748275829,-106.51587179306102,-166.9167702682709,-174.01610285730806,-102.49907328510146,-580.098014884388,-543.1747929178752,-368.032719154484,-2274.687339867118,-503.46653039416117,-264.9139383456588,-12677.703773199675,-4388.593603081326,-444.40258757588924,-465.3720197979377,-203.89448798584723,-4948.890503083061,-4003.852865222987,-1938.9853052175793
7,-580.9372686458269,-101.53956285826177,-126.55264302444675,-140.77521738596823,-65.28215813835772,-182.1641178099958,-462.30635613538834,-324.8713892800105,-1797.0589133979956,-428.2557553236899,-241.84561679232152,-8222.258982131854,-3508.03421804163,-392.18494378064935,-351.7134065337587,-162.87995989140384,-4948.889677450172,-4003.8522979401696,-1127.5535500411509
8,-340.8743745251624,-90.96776627737205,-101.00150058093583,-117.11529171784295,-55.26987402642107,-135.1520566949955,-413.44957123089904,-225.6831655568586,-697.9920444928657,-272.4676154984274,-188.4236566780629,-1504.4716237046482,-843.5931596735081,-243.88160606746928,-276.89442829741785,-132.2497698897541,-4948.760060098702,-2505.6340136693743,-293.3106884987974
9,-419.94180763154156,-96.89715244789674,-99.66416509475722,-116.81475963828669,-71.0849888951446,-181.41857379321306,-389.9474756632687,-260.32763598906035,-951.2583144326918,-329.0177206182954,-213.58913596853193,-2380.4520623021494,-1224.8355366314315,-299.2453897796742,-267.20392003434785,-131.0385713814717,-1549.8170706533451,0.49519710869226036,-264.60434983543223
