,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,10 battery,10 pumped_hydro,11 battery,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,5 battery,6 battery,6 pumped_hydro,7 battery,7 pumped_hydro,8 battery
0,560.8646551545738,161.73001707572598,531.9341679712358,496.89500921391794,174.47928537077908,255.49445111708056,1399.345861238981,448.18332487250154,640.9934294178936,496.88512482676396,309.0521894394378,1429.0168779654289,743.6202827227429,610.9973925314279,1683.522242780863,576.5034864112462,3456.356993328209,5294.091189271706,706.1270421818928
1,1269.463029015493,302.79510154640263,791.850669000361,725.5189187307636,318.6712166164944,731.2633441821423,2287.6679276217906,935.2756270997944,1881.1675946608843,1073.8136371531364,626.5095556323557,4697.168725902576,2483.4668438780172,1107.8533426392637,2458.070159547895,842.6472022668139,2768.083507607866,5058.926281304684,1105.8796207979954
2,1984.2799281377977,422.6443010897355,981.5612320730835,904.9714098513307,783.4962096654847,1798.9970598932775,3002.0681711756806,1365.0238812796724,3420.4850135333527,1605.9739827458538,900.372955422681,10867.59499873325,5285.590105665108,1475.8832479366997,2767.4393750891845,1037.897212168603,1958.4930801047715,4822.203229912527,1625.6839096622568
3,2679.8200855008854,529.0660333766085,1226.6833906120785,1131.771116363879,1393.7757756911894,2942.8070748351547,3703.1772334263583,1758.2328235118464,5219.912918457237,2112.2376103403362,1150.2897495777659,20332.771658961377,8779.787860038507,1844.4818041425701,3666.048973277677,1323.2585714679694,1748.9090726166419,4679.001852227012,2848.7419663172427
4,3417.2953397302645,629.0727278374153,1504.1695087854227,1379.1287876076353,2004.1710612852276,4086.780171755992,4645.408746782188,2150.1747243905093,7245.838261370041,2638.374106708573,1395.914087863923,32729.47635762489,12714.008796248625,2268.540845971507,5584.762239399015,1652.0496046237758,4407.383918332556,4678.388746329551,4652.025316322303
5,4328.732539952966,729.7992330778707,1762.293277424107,1607.4667415179313,2614.5497874208577,5230.77513230111,5564.364454959424,2601.1646755576994,9591.728799095106,3273.0865560565185,1665.5487320992777,46559.24278069599,16991.8926700839,2808.1911111353934,7569.276327563275,1946.325198664872,9256.136045698657,5330.575661433388,6580.595364096619
6,5021.078516147823,821.6171592502343,1925.5881084833022,1757.9055763294052,2714.563526505175,5732.715205356917,6095.651952912897,2961.2982271023584,11560.90025013072,3765.9109590420976,1894.4994992926568,58979.445982580444,20791.676494335105,3243.2030678239994,8024.875611512031,2122.6394045509383,14105.0364506799,8797.998467080943,8479.926282582945
7,5589.813869128778,909.1350751881207,2049.3460117834684,1879.5641940675964,2778.097678502607,5890.005985809274,6547.717517348086,3279.1688918536897,13116.445816377134,4185.07414139774,2103.486481039366,67034.26847224344,23828.885777303276,3627.0514226255345,8369.183638986073,2263.440840910894,18953.936032525577,12265.420735039905,9584.216539076031
8,5923.335897243842,987.4996706228544,2148.086673037307,1980.7432294177668,2831.785394253845,6006.58741797742,6951.928876594213,3499.8486029191395,13720.179611612906,4451.593261601016,2266.2132647664193,68507.01170258722,24558.6281566946,3865.553480696647,8640.312935519414,2377.724221252359,23802.706159513207,14435.328607622741,9871.112106555769
9,6334.328417877777,1070.9999618203694,2245.518703413953,2081.663258537565,2900.9885296939647,6163.2278457928305,7333.124790582975,3754.473281039299,14543.24514452266,4773.517132546619,2450.7331205601445,70838.0766790302,25618.53479777894,4158.31021078448,8901.929483274433,2490.9569791456547,25321.184560531794,14434.711030766155,10129.881261230283
10,6969.569153059419,1164.8140315101161,2343.373343051852,2183.3025523758847,2996.309301596137,6410.2095031773915,7720.114615234959,4097.268895293148,16246.376224259475,5237.523416298849,2679.9160564550707,78411.69535821704,28617.178011641856,4605.605640448005,9159.84054133594,2602.9896758221785,24896.045796079557,14246.484809784593,9315.6443328408
11,7722.013396458364,1266.885989563878,2441.6623660499085,2284.4509048236514,3116.173191513306,6760.299978602227,8106.816419638308,4485.671972995099,18219.21734034174,5784.619329773992,2937.83700004686,88297.29374069511,32235.22353797968,5121.283014984965,9399.5948909529,2715.1130119264612,24257.158886209774,14036.271062595408,8748.297749834102
12,8356.781987600021,1373.590077097851,2596.6504876951767,2434.263009013157,3234.50515218789,7041.414425942653,8498.081297692828,4847.210883484718,19505.181790904284,6265.071540153136,3192.7862405699166,91323.05020036803,33923.955143680985,5602.02407821919,10730.24840380024,2905.2386437762107,23676.74532321388,13827.80676352709,9087.62730415418
13,9144.960796512052,1497.822028438428,2763.9561648872664,2585.5639582204144,3362.6674010120273,7304.763806269696,8882.18408459285,5299.7367290407765,21193.07311592033,6850.179674006446,3496.492751581744,95152.45368680604,36449.53613625634,6132.490797320311,14424.604186574952,3104.8520572917714,23074.745029460744,13616.333152476473,9659.522920540763
14,10203.615257798047,1651.7692191819685,2946.535643046,2735.255979355765,3553.0105214841788,7672.592524683736,9264.680034892895,5915.1163509486905,23488.753691262424,7641.725890693497,3877.7516641895145,100184.3979208809,40120.45886734589,6787.643286146846,19011.049584558597,3298.5714244672263,22278.731984538535,13395.49421313817,10923.072561021396
15,10598.780273978406,1798.3593445542867,3105.6932580070975,2863.7960931906305,3748.0033196563236,7935.988524396958,9614.933417252167,6278.939562757236,23926.706517611954,8016.491013267487,4123.093062535676,100828.83534844259,40640.88076071448,7106.870939857039,21328.706770294575,3461.34131045421,21997.05875288651,13225.025665670304,12143.145543563733
16,10603.181573572787,1798.1893785914322,3216.381180471368,2982.5371150761234,3748.6182125727114,7935.774083649118,9945.925579692188,6281.194881701525,23926.514515011706,8019.877872203549,4122.921290856503,100830.2598349777,40640.85746632639,7146.017883164167,21841.322760396408,3611.884467640778,21454.057711331265,13012.17862894306,12147.848449905468
17,10504.9318035537,1786.2688273361373,3403.984813178091,3186.205984100786,3662.2781691737373,7867.02018996467,10278.876987969912,6194.514763517851,23900.948492819993,7928.469135999673,4108.589158532708,100731.86470796497,40612.40452840381,7078.753439998065,23558.38839087285,3896.8413157327705,20998.6631152446,12806.678598494746,12037.560608729573
18,10474.573266992604,1781.299816645635,3481.959336211178,3280.9466951594623,3545.5954945227827,7827.884436643551,10623.330438887955,6160.7658112504005,23892.03188018301,7897.56963954606,4103.173877921117,100671.03234490051,40600.17997977003,7035.794848443221,23708.816917051285,4009.454703678752,20572.35205926387,12603.49465850216,12010.444892978498
19,10445.478197022747,1777.8752858736184,3518.2314478326844,3330.226334886768,3161.845691309285,7792.855221822383,11013.663549098337,6136.2526127437,23888.270874532536,7870.701573334605,4099.56642358898,100621.94774634366,40594.92667537181,7006.310084848563,23772.328231913063,4065.0196316135525,19830.047668972336,12373.492166344033,11983.529228087269
20,10433.321030010311,1775.3770022668832,3574.199493434701,3403.5701848925864,3091.866976658731,7770.735252939098,11460.076608510159,6122.484570363062,23886.235182079825,7857.891214516709,4096.861571447779,100588.97861730387,40592.49748114868,6990.269111917396,23882.470893954152,4149.64071715077,19421.393760870018,12169.832254696717,11972.309888737118
21,10425.96632637047,1773.4544611554904,3708.596188188777,3560.014648922065,3064.5171462314524,7751.781644193596,12000.950261202373,6115.19050403032,23884.31671310326,7850.44706910664,4094.6793914773957,100572.60620334752,40590.50749019531,6981.732707387078,24240.17694104183,4350.016766290804,19051.460984903417,11971.100075478395,11965.229717724704
22,10420.454126661338,1771.8914800866755,3833.3837539606893,3706.546742272371,3055.41077972223,7739.298481071675,12719.362326459715,6109.598826533008,23882.532274191704,7844.855387215895,4092.863939972153,100561.90191661454,40588.84867776109,6975.339226338517,24573.533934523715,4537.182479716656,18570.94985201684,11750.932113225825,11959.83914685944
23,10416.741445043885,1770.602105371059,3970.9236822703624,3864.325715881418,3665.5382336847533,7921.678813702744,13603.839158522918,6105.984180442031,23880.79221690477,7841.215778311732,4091.299942782954,100555.63412055396,40587.195040376406,6971.180715682969,24953.45830980261,4741.273722415976,15260.731824730547,11515.151120954504,11956.151549325947
24,10414.624451263153,1769.5453195162356,4119.890072733413,4034.1937483514175,3652.287274010451,7915.693493190333,13764.803478088517,6103.933489679837,23879.205911412748,7839.164285457471,4089.938220861468,100551.23316488329,40585.737654247016,6968.485082326799,25382.97031032775,4963.793993934409,12144.674780951553,11280.354810799858,11953.74675716609
25,10414.635693895274,1768.6823273262542,4359.205568307456,4283.95333129512,3645.6972951974694,7911.729896318864,13926.714883089022,6104.139910312799,23877.739264923603,7839.245695309876,4088.7262914224025,100551.86908127634,40584.4677241697,6968.060624535125,27587.607060778733,5331.510901535453,9960.571336421779,11025.066076486766,11953.444472577305
26,10415.035715783677,1767.9723295877143,4623.964758874313,4549.922713162902,3641.953512808597,7908.691808312234,14333.023831192244,6105.193529269033,23876.325652026735,7839.957327856018,4087.6030301838605,100556.81846828603,40583.28836172423,6968.605249124841,33150.52466126958,5734.5340115984645,7977.90107059272,10766.278529480409,11953.578530020757
27,10417.099283770802,1767.4177892456198,4944.825984008719,4840.328685926691,3640.820498907908,7906.170422640234,15037.205987544869,6108.109415026116,23875.053729273564,7842.373922607022,4086.56546280517,100567.63270124973,40582.3855486583,6971.077921196977,41508.75265668319,6197.079030071756,7297.063513586539,10531.919392862052,11955.659756144007
28,10421.053983755097,1766.98444158918,5281.188746969453,5121.404276317655,3641.521864079062,7904.023969805306,15737.350048252172,6112.3051564366815,23873.73292347954,7846.199085267054,4085.640475107975,100583.82840244887,40581.58241611826,6974.902861350319,50139.59495193448,6637.621430892962,7263.648093272931,10496.745541336428,11959.909130357844
29,10427.945484481794,1766.682392926476,5570.287904931263,5363.820135800777,3643.963973001845,7902.340619902791,15725.64556956602,6117.752478546275,23872.75408763412,7851.900778706389,4084.957693028227,100606.94842197245,40580.70481770705,6980.212244185732,54626.77980343852,6992.860868646501,10099.214560160874,10496.152802970779,11967.604455902649
30,10441.736577930838,1767.0036619045695,5719.007642279335,5547.766948146523,3651.817855159704,7901.574664603955,15696.998301876176,6129.979419381855,23872.87671337189,7864.596885265489,4085.045610793864,100635.84078972577,40581.14731567036,6992.568744969709,54951.69064287885,7214.713354167199,14947.983319594194,11390.507493202294,11981.74866534607
31,10465.954368783832,1768.004061918966,5819.9052645763295,5664.281726011492,3669.0982251862874,7902.146742677195,15699.081349886312,6152.901416202444,23875.12848023355,7887.3610232501815,4086.3268747465427,100690.66555421286,40583.765402525976,7015.233523053502,55146.89137872734,7347.03826193654,19796.741093713048,11917.250084522477,12005.49506765915
32,9158.669222188055,1768.5912061218485,5463.720184108864,5671.107704044018,3164.7022656531094,7902.4259200208535,14741.712548740297,5339.810705614701,23876.523109868183,6869.856936703591,4087.116252065762,96424.94562602554,40585.30567094725,6113.7104012892105,54483.086953998776,7354.108365384635,23668.756785482416,11916.598777153406,10514.960017762322
33,8193.868318736104,1769.2129490679786,5162.57618868312,5677.600706385862,2702.392468295638,7902.751865834656,13829.549712648964,4639.338836201935,23878.166489419134,6054.139343922602,4087.910613253118,93603.36114369027,40587.078498470255,5379.206006107994,53952.811814410656,7360.792864965325,23410.297922738995,11761.009537842778,9460.108209421735
34,8313.337315393637,1771.0723751812502,5306.555506557142,5834.457112450494,2771.13470511933,7904.287450160684,13940.275835328966,4729.1975061431995,23882.131276950444,6154.800450156932,4090.0414317674567,94007.57765802252,40591.54612640234,5475.242839731399,54222.710868870796,7539.375886349926,23300.040876853287,11668.348741779853,9584.93831512497
