name,scn_name,bus,carrier,e_nom,e_nom_extendable,e_nom_max,e_initial,e_cyclic,capital_cost,e_nom_opt
41240 dsm,eGon2035,41240,dsm,6157.624433784916,False,inf,0.0,True,0.0,6157.624433784916
48639 CH4,eGon2035,48639,CH4,103258761.6825082,False,inf,0.0,True,0.0,103258761.6825082
48640 CH4,eGon2035,48640,CH4,7796579.6970679015,False,inf,0.0,True,0.0,7796579.6970679015
48642 CH4,eGon2035,48642,CH4,16558557.363773989,False,inf,0.0,True,0.0,16558557.363773989
48643 CH4,eGon2035,48643,CH4,4467164.898,False,inf,0.0,True,0.0,4467164.898
48644 CH4,eGon2035,48644,CH4,110961282.95347735,False,inf,0.0,True,0.0,110961282.95347735
48645 CH4,eGon2035,48645,CH4,45093072.66459372,False,inf,0.0,True,0.0,45093072.66459372
48647 CH4,eGon2035,48647,CH4,98781272.36350779,False,inf,0.0,True,0.0,98781272.36350779
48649 CH4,eGon2035,48649,CH4,40085545.400267825,False,inf,0.0,True,0.0,40085545.400267825
48650 CH4,eGon2035,48650,CH4,3268835.936014453,False,inf,0.0,True,0.0,3268835.936014453
48653 H2_underground,eGon2035,48653,H2_underground,0.0,True,8116755.156723482,0.0,True,5.032562307171483,2552.0586766833135
63652 central_heat_store,eGon2035,63652,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1867.314451245536
63927 central_heat_store,eGon2035,63927,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1354.4866347691761
63995 central_heat_store,eGon2035,63995,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1354.9366076518402
64017 central_heat_store,eGon2035,64017,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.7208151064099
64068 central_heat_store,eGon2035,64068,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1354.706748115032
64231 central_heat_store,eGon2035,64231,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.5157856323417
64255 central_heat_store,eGon2035,64255,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6923546731907
64407 central_heat_store,eGon2035,64407,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.3494977594207
64409 central_heat_store,eGon2035,64409,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1354.4091150303007
64424 central_heat_store,eGon2035,64424,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.9046541314244
64622 central_heat_store,eGon2035,64622,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1357.6854216844108
64627 central_heat_store,eGon2035,64627,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.3748065462944
64891 central_heat_store,eGon2035,64891,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1354.1315109174782
65108 central_heat_store,eGon2035,65108,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.50195701171
65115 central_heat_store,eGon2035,65115,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1367.4324614137872
65148 central_heat_store,eGon2035,65148,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1353.2770523547817
65177 central_heat_store,eGon2035,65177,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.2800186984473
65233 central_heat_store,eGon2035,65233,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.8226979998392
65446 central_heat_store,eGon2035,65446,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1376.7896080203304
65455 central_heat_store,eGon2035,65455,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.7032986275835
65459 central_heat_store,eGon2035,65459,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.6956524502777
65466 central_heat_store,eGon2035,65466,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.5098630337418
65491 central_heat_store,eGon2035,65491,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.1203100660407
65507 central_heat_store,eGon2035,65507,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.591908753318
65517 central_heat_store,eGon2035,65517,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.4090572824034
65518 central_heat_store,eGon2035,65518,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.3247501995534
65530 central_heat_store,eGon2035,65530,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6564267600936
65649 central_heat_store,eGon2035,65649,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6961077244362
65736 central_heat_store,eGon2035,65736,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.6192426708446
65750 central_heat_store,eGon2035,65750,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6330294791655
65757 central_heat_store,eGon2035,65757,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.682090648092
65764 central_heat_store,eGon2035,65764,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6913481865554
65883 central_heat_store,eGon2035,65883,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.2915269665928
65889 central_heat_store,eGon2035,65889,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1371.0088141673682
65962 central_heat_store,eGon2035,65962,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1358.7044343651417
65998 central_heat_store,eGon2035,65998,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6855302615118
66007 central_heat_store,eGon2035,66007,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1355.6799657015765
66014 central_heat_store,eGon2035,66014,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1356.3308622360594
66056 central_heat_store,eGon2035,66056,central_heat_store,0.0,True,inf,0.0,True,2.105894851346997,1359.8718616761091
66067 rural_heat_store,eGon2035,66067,rural_heat_store,0.0,True,inf,0.0,True,84.18143564868184,194241.6316845465
69914 battery_storage,eGon2035,69914,battery_storage,915444.88,False,inf,721462.775760186,False,0.0,915444.88
71327 CH4,eGon2035,71327,CH4,22387785.752198417,False,inf,0.0,True,0.0,22387785.752198417
71328 CH4,eGon2035,71328,CH4,828.0254777070064,False,inf,0.0,True,0.0,828.0254777070064
71329 CH4,eGon2035,71329,CH4,414.0127388535032,False,inf,0.0,True,0.0,414.0127388535032
