bus_id,cluster,medoid_idx
47369,32,47618
47372,32,47618
47373,32,47618
47374,32,47618
47375,32,47618
47376,1,47487
47377,1,47487
47378,1,47487
47379,32,47618
47380,32,47618
47381,12,47608
47382,32,47618
47383,12,47608
47384,12,47608
47385,32,47618
47386,32,47618
47387,32,47618
47388,1,47487
47389,1,47487
47390,1,47487
47391,1,47487
47392,1,47487
47393,1,47487
47394,7,47592
47395,7,47592
47396,7,47592
47397,7,47592
47398,7,47592
47399,7,47592
47400,7,47592
47401,7,47592
47402,12,47608
47403,7,47592
47404,12,47608
47405,12,47608
47406,12,47608
47407,12,47608
47408,12,47608
47409,12,47608
47410,12,47608
47411,12,47608
47412,22,47414
47413,22,47414
47414,22,47414
47415,31,47859
47416,22,47414
47417,11,47422
47418,11,47422
47419,11,47422
47420,11,47422
47421,11,47422
47422,11,47422
47423,11,47422
47424,11,47422
47425,12,47608
47426,12,47608
47427,22,47414
47428,27,47431
47429,27,47431
47430,27,47431
47431,27,47431
47432,36,47435
47433,36,47435
47434,36,47435
47435,36,47435
47436,36,47435
47437,15,47447
47438,15,47447
47439,15,47447
47440,15,47447
47441,15,47447
47442,15,47447
47443,15,47447
47444,15,47447
47445,15,47447
47446,15,47447
47447,15,47447
47448,5,47493
47449,15,47447
47450,15,47447
47451,5,47493
47452,15,47447
47453,33,47858
47454,11,47422
47455,33,47858
47456,33,47858
47457,9,47464
47458,9,47464
47459,9,47464
47460,33,47858
47461,33,47858
47462,9,47464
47463,9,47464
47464,9,47464
47465,9,47464
47466,9,47464
47467,4,48345
47468,4,48345
47469,4,48345
47470,4,48345
47471,4,48345
47472,4,48345
47473,19,47639
47474,11,47422
47475,11,47422
47476,11,47422
47477,11,47422
47478,35,48114
47479,35,48114
47480,21,47789
47481,21,47789
47482,11,47422
47483,11,47422
47484,11,47422
47485,1,47487
47486,1,47487
47487,1,47487
47488,1,47487
47489,28,48361
47490,28,48361
47491,5,47493
47492,5,47493
47493,5,47493
47494,5,47493
47495,5,47493
47496,16,48167
47497,16,48167
47498,16,48167
47499,16,48167
47500,35,48114
47501,7,47592
47502,7,47592
47503,7,47592
47504,7,47592
47505,1,47487
47506,1,47487
47507,1,47487
47508,1,47487
47509,1,47487
47510,1,47487
47511,7,47592
47512,7,47592
47513,7,47592
47514,7,47592
47515,7,47592
47516,21,47789
47517,21,47789
47518,21,47789
47519,21,47789
47520,23,47520
47521,23,47520
47522,7,47592
47523,7,47592
47524,7,47592
47525,21,47789
47526,21,47789
47527,19,47639
47528,19,47639
47529,3,47561
47530,3,47561
47531,34,48312
47532,19,47639
47533,3,47561
47534,3,47561
47535,11,47422
47536,3,47561
47537,3,47561
47538,26,47538
47539,26,47538
47540,8,47541
47541,8,47541
47542,20,47547
47543,20,47547
47544,20,47547
47545,20,47547
47546,20,47547
47547,20,47547
47548,20,47547
47549,20,47547
47550,20,47547
47551,20,47547
47552,20,47547
47553,20,47547
47554,20,47547
47555,3,47561
47556,20,47547
47557,20,47547
47558,20,47547
47559,0,48170
47560,3,47561
47561,3,47561
47562,19,47639
47563,19,47639
47564,11,47422
47565,12,47608
47566,12,47608
47567,3,47561
47568,3,47561
47569,31,47859
47570,11,47422
47571,31,47859
47572,3,47561
47573,3,47561
47574,3,47561
47575,31,47859
47576,31,47859
47577,6,48344
47578,6,48344
47579,6,48344
47580,3,47561
47581,3,47561
47582,12,47608
47583,3,47561
47584,3,47561
47585,3,47561
47586,3,47561
47587,5,47493
47588,35,48114
47589,4,48345
47590,4,48345
47591,7,47592
47592,7,47592
47593,7,47592
47594,12,47608
47595,12,47608
47596,22,47414
47597,12,47608
47598,12,47608
47599,12,47608
47600,12,47608
47601,12,47608
47602,12,47608
47603,12,47608
47604,12,47608
47605,12,47608
47606,12,47608
47607,12,47608
47608,12,47608
47609,12,47608
47610,12,47608
47611,12,47608
47612,32,47618
47613,32,47618
47614,32,47618
47615,32,47618
47616,32,47618
47617,32,47618
47618,32,47618
47619,1,47487
47620,1,47487
47621,32,47618
47622,32,47618
47623,32,47618
47624,1,47487
47625,1,47487
47626,1,47487
47627,1,47487
47628,1,47487
47629,1,47487
47630,1,47487
47631,1,47487
47632,1,47487
47633,27,47431
47634,12,47608
47635,7,47592
47636,12,47608
47637,29,47637
47638,19,47639
47639,19,47639
47640,19,47639
47641,12,47608
47642,11,47422
47643,31,47859
47644,15,47447
47645,12,47608
47646,30,47650
47647,30,47650
47648,30,47650
47649,30,47650
47650,30,47650
47651,30,47650
47652,33,47858
47653,33,47858
47654,30,47650
47655,13,48225
47656,13,48225
47657,13,48225
47658,13,48225
47659,13,48225
47660,30,47650
47661,30,47650
47662,13,48225
47663,13,48225
47664,13,48225
47665,13,48225
47666,13,48225
47667,13,48225
47668,9,47464
47669,9,47464
47670,9,47464
47671,9,47464
47672,9,47464
47673,9,47464
47674,13,48225
47675,17,47681
47676,17,47681
47677,17,47681
47678,17,47681
47679,17,47681
47680,17,47681
47681,17,47681
47682,17,47681
47683,9,47464
47684,17,47681
47685,17,47681
47686,17,47681
47687,17,47681
47688,17,47681
47689,17,47681
47690,17,47681
47691,17,47681
47692,17,47681
47693,17,47681
47694,17,47681
47695,17,47681
47696,17,47681
47697,17,47681
47698,34,48312
47699,17,47681
47700,34,48312
47701,34,48312
47702,34,48312
47703,34,48312
47704,34,48312
47705,34,48312
47706,34,48312
47707,34,48312
47708,34,48312
47709,34,48312
47710,34,48312
47711,34,48312
47712,10,47722
47713,34,48312
47714,0,48170
47715,10,47722
47716,10,47722
47717,10,47722
47718,10,47722
47719,10,47722
47720,10,47722
47721,10,47722
47722,10,47722
47723,10,47722
47724,10,47722
47725,25,47732
47726,10,47722
47727,25,47732
47728,10,47722
47729,25,47732
47730,25,47732
47731,25,47732
47732,25,47732
47733,25,47732
47734,25,47732
47735,25,47732
47736,25,47732
47737,0,48170
47738,0,48170
47739,0,48170
47740,0,48170
47741,0,48170
47742,33,47858
47743,0,48170
47744,0,48170
47745,33,47858
47746,33,47858
47747,33,47858
47748,33,47858
47749,0,48170
47750,33,47858
47751,0,48170
47752,0,48170
47753,0,48170
47754,0,48170
47755,0,48170
47756,17,47681
47757,17,47681
47758,17,47681
47759,17,47681
47760,13,48225
47761,13,48225
47762,17,47681
47763,17,47681
47764,27,47431
47765,16,48167
47766,16,48167
47767,35,48114
47768,35,48114
47769,35,48114
47770,7,47592
47771,18,47777
47772,27,47431
47773,27,47431
47774,27,47431
47775,18,47777
47776,18,47777
47777,18,47777
47778,18,47777
47779,27,47431
47780,27,47431
47781,27,47431
47782,27,47431
47783,27,47431
47784,21,47789
47785,21,47789
47786,21,47789
47787,21,47789
47788,21,47789
47789,21,47789
47790,21,47789
47791,21,47789
47792,23,47520
47793,18,47777
47794,18,47777
47795,2,48153
47796,2,48153
47797,2,48153
47798,27,47431
47799,2,48153
47800,2,48153
47801,2,48153
47802,23,47520
47804,12,47608
47805,12,47608
47806,11,47422
47807,11,47422
47808,11,47422
47809,11,47422
47810,11,47422
47811,11,47422
47812,31,47859
47813,31,47859
47814,31,47859
47815,24,48386
47816,24,48386
47817,11,47422
47818,31,47859
47819,31,47859
47820,31,47859
47821,28,48361
47823,15,47447
47849,19,47639
47850,19,47639
47855,21,47789
47858,33,47858
47859,31,47859
47860,20,47547
47861,15,47447
47862,19,47639
47863,19,47639
47865,7,47592
47867,33,47858
47870,15,47447
47871,15,47447
47876,3,47561
47879,34,48312
47880,32,47618
47884,19,47639
47891,19,47639
47895,0,48170
47898,6,48344
47906,10,47722
47912,32,47618
47924,21,47789
47925,25,47732
47926,19,47639
47929,12,47608
47944,17,47681
47947,17,47681
47950,15,47447
47951,15,47447
47980,11,47422
47981,0,48170
47982,17,47681
48028,32,47618
48036,32,47618
48067,25,47732
48068,25,47732
48072,12,47608
48073,17,47681
48076,13,48225
48077,32,47618
48083,1,47487
48085,11,47422
48086,4,48345
48096,2,48153
48097,34,48312
48099,15,47447
48101,32,47618
48102,10,47722
48103,21,47789
48105,1,47487
48107,10,47722
48108,34,48312
48110,9,47464
48111,1,47487
48113,16,48167
48114,35,48114
48115,1,47487
48120,32,47618
48121,7,47592
48122,33,47858
48123,32,47618
48125,1,47487
48128,33,47858
48136,35,48114
48137,10,47722
48138,17,47681
48142,32,47618
48144,1,47487
48147,1,47487
48148,23,47520
48151,21,47789
48153,2,48153
48156,9,47464
48161,1,47487
48163,11,47422
48166,21,47789
48167,16,48167
48168,36,47435
48170,0,48170
48171,27,47431
48175,17,47681
48177,12,47608
48187,21,47789
48188,15,47447
48191,12,47608
48192,1,47487
48193,17,47681
48196,9,47464
48198,15,47447
48199,15,47447
48202,0,48170
48203,32,47618
48206,13,48225
48210,12,47608
48218,3,47561
48221,17,47681
48225,13,48225
48226,32,47618
48227,25,47732
48229,9,47464
48230,12,47608
48233,32,47618
48234,27,47431
48236,21,47789
48237,7,47592
48240,17,47681
48247,7,47592
48249,2,48153
48250,16,48167
48254,8,47541
48263,17,47681
48264,12,47608
48265,21,47789
48268,15,47447
48269,31,47859
48273,7,47592
48277,17,47681
48278,7,47592
48279,24,48386
48282,15,47447
48283,30,47650
48284,2,48153
48286,19,47639
48297,33,47858
48303,12,47608
48304,7,47592
48306,2,48153
48312,34,48312
48313,35,48114
48325,16,48167
48328,11,47422
48330,2,48153
48331,4,48345
48337,13,48225
48339,0,48170
48341,9,47464
48343,36,47435
48344,6,48344
48345,4,48345
48346,4,48345
48349,20,47547
48350,11,47422
48351,12,47608
48361,28,48361
48367,20,47547
48380,35,48114
48385,4,48345
48386,24,48386
48392,24,48386
48396,4,48345
48397,35,48114
48442,25,47732
48550,15,47447
48551,21,47789
48552,19,47639
48553,7,47592
48554,19,47639
48558,7,47592
48562,5,47493
48565,1,47487
48566,25,47732
48567,18,47777
48568,12,47608
48570,19,47639
48596,14,48596
48599,23,47520
48638,5,47493
